antibody,neutralization_IC50,hACE2_blocking_IC50,S2Pecto_EC50,RBD_EC50,SARS1_S2Pecto_EC50,CR3022_competition
COV2-2050,80,63,1.7,1.6,NA,NA
COV2-2082,204,43,1.1,0.6,19.9,complete
COV2-2094,154,53,1.8,1.4,11.7,complete
COV2-2096,59,67,1,1,NA,NA
COV2-2130,107,61,1.5,0.7,NA,NA
COV2-2165,332,62,1.4,0.6,NA,NA
COV2-2196,15,48,1.2,1.1,NA,NA
COV2-2479,48,50,0.4,0.3,NA,NA
COV2-2499,27,57,1.4,1.1,NA,NA
COV2-2677,1618,107,2.4,0.7,NA,complete
COV2-2832,70,47,1.3,1.1,NA,NA
COV2-2955,127,54,0.8,0.5,NA,NA
CR3022,NA,NA,10.2,1.1,5.2,complete